Хто, Wer
Що, Was
Кого, Wen
Куда, Wohin
Кому, Wem
Де, Wo
Як, Wie
Коли, Wann
звідки, Woher
чому, Warum
мій, mein
твій, dein
його, sein
жоден/ніякий, kein
жодна/ніяка, kiene
Зкільки років, Wie alt
скільки, Wie viel

Яблуко, der Apfel
Грудень, der Dezember
Листопад, der November
Жовтень, der Oktober
Вересень, der September
Серпень, der August
Травень, der Mai
Квітень, der April
Березень, der März
Лютий, der Februar
Січень, der Januar
Інтернет, im Internet surfen
Хоббі, das Hobby
Спорт, der Sport
Плавати, schwimmen
Їздити на велисопеді, Fahrrad fahren
Написати лист, Briefe schreiben
Лист, der Brief
Дозвілля, die Freizeit
Дискотека, die Disko
Велисопед, das Fahrrad
Компютерні ігри, das Computerspiel
Зустрітись з друзями, Freunde treffen
Зустрічатись, treffen
Гриль, grillen
Менеджер, der Manager
Секретар, der Sekretär
Режисер, der Regisseur
Музикант, der Musiker
Повар, der Koch
Художник, der Maler
Гостьовий працівник, der Gastarbeiter
Лікар, der Arzt
Лікар(жінка), der Ärztin
Медсестра, die Krankenschwester
Медбрат, der Krankenpfleger
Стоматолог, der Zahnarzt
Акушерка, die Hebamme
Водій, der Fahrer
Водій авто, der Autofahrer
Водій автобуса, der Busfahrer
Поліцейський, der Polizist
Механік, der Mechaniker
Офіціант, der Kellner
Офіціантка, die Kellnerin
Пекар, der Bäcker
М'ясник, der Metzger
М'ясник 2, der Fleischer
Таксист, der Taxifahler
Прибиральниця, die Putzfrau
Доцент, der Dozent
Професор, der Professor
Школяр, der Schüler
Школярка, die Schülerin
Держслужбовець, der Beamte
Прибиральниця (нове), die Raumpflegerin
Домохазяйка, die Hausfrau
Заняття (уроки), der Unterricht
Навчати, unterrichten
Лікар швидкої допомоги, der Notarzt
Стук, klopf
Повний, voll
Повний робочий день, vollzeit
Повністю, total
Світло(радісно), hell
Тому що, weil
Гном, der Zwerg
Іграшка, das Spielzeug
Загортати, einpacken
Заповнити, füllen
Санки, der Schlitten
Дуже смачно, lecker
Залізниця, eisenbahn
Список, die Liste
Знати, kennen
Щасливий, glücklich
Задоволений, zufrieden
Льодяники, die Bonbons
Блискавично, blitzschnell
Різдвяне місто, Die Weihnachtsstadt
Полум'я, die Flamme
Свічка, die Kerze
Яслі, die Krippe
Зірка, die Stern
Пряники, die Lebkuchen
Осел, der Esel
Ялинка, der Tannenbaum
Король, der König
Санта-Клаус, der Weihnachtsmann
Подарунок, das Geschenk
Ялинка, das Weihnachtsbaum
Семестр, das Semester
Безробітний, arbeitslos
Приватний підприємець, angestellt
Молодий, jung
Стрес, der Stress
Пакет, das Paket
Відповідь, die Antwort
Весілля, die Hochzeit
Дитячий садок, der Kindergarten
Стомлений, müde
Швидко, schnell
Блискавка, blitz
Привіт, Hallo
Добрий ранок, Guten Morgen
Добрий день, Guten Tag
Добрий вечір, Guten Abend
До побачення, Auf Wiedersehen
Надобраніч, Gute Nacht
Ім'я, der Name
Звати, heißen
Це є, Das ist
Я є, Ich bin
Чоловік, der Herr
Жінка, die Frau
Телефон, das Telefon
Факс, das Fax
Номер будинку, die Hausnummer
Вулиця, die Straße
Адрес, die Adresse
Прізвище, der Familienname
Місце, der Platz
Місто, die Stadt
Реєстрація, die Anmeldung
Готель, das Hotel
Гра, das Spiel
Радіо, das Radio
Музика, die Musik
Фото, das Foto
E-mail, die E-Mail
Компанія, die Firma
Інформація, die Information
Колега, die Kollegin
Форма, das Formular
Малюнок, das Bild
Розмова, das Gespräch
Слово, das Wort
Я, Ich
Ти, Du
І, und
Він, er
Вона, sie
Ми, wir
Їх, Ihr
Так, ja
Також, auch
З, von
Ні, nein
Міжнародний, international
Траплятись, passieren
Не, nicht
З, mit
Ви, Sie
Бути там, da sein
Будь ласка, bitte
Дякую, danke
Дякую 2, Vielen Dank
Читати, lesen
Бачити, sehen
Сказати, sagen
